CodeType_FKID,Unit_FKID,ViewStatus,SortOrder
1,2,1,100
1,3,2,1
2,2,1,100
2,3,2,2
3,2,1,100
3,3,2,3
4,2,1,100
4,3,2,4
5,2,1,100
5,3,1,5
6,2,1,100
6,3,1,6
7,2,1,100
7,3,1,7
8,2,1,100
8,3,1,8
9,2,1,100
9,3,1,9
10,2,1,100
10,3,0,10
11,2,1,100
11,3,0,11
12,2,1,100
12,3,0,12
13,2,1,100
13,4,2,1
14,2,1,100
14,4,2,2
15,2,1,100
15,4,2,3
16,1,2,1
16,2,1,100
17,1,2,2
17,2,1,100
18,1,2,3
18,2,1,100
19,1,2,4
19,2,1,100
20,1,1,5
20,2,1,100
21,1,1,6
21,2,1,100
22,1,0,7
22,2,0,100
23,1,0,8
23,2,0,100
24,1,0,9
24,2,0,100
25,1,0,10
25,2,0,100
26,1,0,11
26,2,0,100
27,1,0,12
27,2,0,100
28,1,1,13
28,2,1,100
29,1,1,14
29,2,1,100
30,1,1,15
30,2,1,100
31,1,1,16
31,2,1,100
32,1,1,17
32,2,1,100
33,1,1,18
33,2,1,100
34,2,1,100
35,2,1,100
35,3,1,13
36,2,1,100
36,3,1,14
37,2,1,100
38,2,1,100
