printid;bibliography;reproductionDate;associatedMediaUri;isPrimaryTopicOfUri;isPrimaryTopicOfUri.marc:publicNote;CataloguersNote
17419091;;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-17419091;https://weburn.kb.se/tumnaglar/25/004007425,1,i,1.jpg;Bild;kbdbild
17418299;;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-17418299;https://weburn.kb.se/tumnaglar/98/004007398,1,i,1.jpg;Bild;kbdbild
17748543;;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-17748543;https://weburn.kb.se/tumnaglar/68/004032468,1,i,1.jpg;Bild;kbdbild
17734527;;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-17734527;https://weburn.kb.se/tumnaglar/68/004032068,1,i,1.jpg;Bild;kbdbild
15175868;;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-15175868;https://weburn.kb.se/tumnaglar/62/003846162,1,i,1.jpg;Bild;kbdbild
15198893;;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-15198893;https://weburn.kb.se/tumnaglar/33/003846833,1,i,1.jpg;Bild;kbdbild
16635704;;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-16635704;https://weburn.kb.se/tumnaglar/94/003953594,1,i,1.jpg;Bild;kbdbild
15176887;;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-15176887;https://weburn.kb.se/tumnaglar/97/003846197,1,i,1.jpg;Bild;kbdbild
16312870;;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-16312870;https://weburn.kb.se/tumnaglar/04/003914804,1,i,1.jpg;Bild;kbdbild
16783821;;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-16783821;https://weburn.kb.se/tumnaglar/93/003956893,1,i,1.jpg;Bild;kbdbild
16989026;;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-16989026;https://weburn.kb.se/tumnaglar/37/003961237,1,i,1.jpg;Bild;kbdbild
15176202;;2015;https://urn.kb.se/resolve?urn=urn:nbn:se:kb:dig-15176202;https://weburn.kb.se/tumnaglar/83/003846183,1,i,1.jpg;Bild;kbdbild
